year,bz_mean_unweighted,bz_mean_weighted,global_mean_unweighted,global_mean_weighted,gap_unweighted,gap_weighted,gap_difference
1979,74.20923414634149,74.49587566483395,64.3994977827051,60.91245592175814,9.80973636363639,13.583419743075808,-3.7736833794394187
1980,74.21650243902441,74.34673262946686,64.61420953436807,61.28460107673125,9.602292904656338,13.062131552735607,-3.4598386480792698
1981,74.62304390243904,74.74926232152224,64.85379711751663,61.671760171420644,9.769246784922402,13.077502150101594,-3.3082553651791926
1982,75.02339024390247,75.14937734481825,64.94642710643016,62.060575123021316,10.076963137472305,13.088802221796932,-3.0118390843246274
1983,75.15020487804877,75.2043916816959,65.32633342572063,62.380791970971416,9.823871452328135,12.82359971072448,-2.9997282583963454
1984,75.51655121951221,75.47193603940676,65.55489828159646,62.71544459579537,9.961652937915744,12.756491443611388,-2.794838505695644
1985,75.69093658536588,75.56631948499447,65.81033148558758,63.04054696770202,9.880605099778293,12.525772517292445,-2.645167417514152
1986,75.96661463414637,75.76912898253539,66.28205709534369,63.4649148964514,9.684557538802679,12.304214086083995,-2.6196565472813163
1987,76.13894634146345,76.01910021698183,66.63768874722838,63.85996751308183,9.50125759423507,12.1591327039,-2.6578751096649285
1988,76.39610731707319,76.03536575799711,66.86157150776054,64.14382424571076,9.534535809312644,11.891541512286352,-2.3570057029737086
1989,76.62858536585368,76.34351746122549,67.16071092017738,64.43418120050812,9.467874445676301,11.909336260717367,-2.441461815041066
1990,76.81109268292684,76.49464956034826,67.26965825942351,64.60831520657894,9.541434423503333,11.886334353769328,-2.3448999302659956
1991,76.95915609756098,76.64035893850829,67.53136973392462,64.86681578400787,9.427786363636358,11.773543154500416,-2.3457567908640584
1992,77.1769512195122,76.84467567685392,67.5120185698448,65.1736217899161,9.664932649667406,11.671053886937827,-2.0061212372704205
1993,77.23007317073173,76.82338858075472,67.64707344789358,65.40294511040588,9.582999722838153,11.420443470348843,-1.8374437475106902
1994,77.44126341463416,77.06784978476809,67.9687649667406,65.65170726056725,9.472498447893571,11.416142524200836,-1.9436440763072653
1995,77.47082926829269,77.04758593310751,68.16842793791574,65.95656271963472,9.302401330376952,11.091023213472795,-1.7886218830958427
1996,77.77638048780487,77.50291775683974,68.49964523281596,66.30145003521741,9.276735254988907,11.201467721622322,-1.9247324666334151
1997,78.08347804878049,77.8308273292459,68.72688664079823,66.63418802088864,9.356591407982265,11.196639308357263,-1.8400479003749979
1998,78.15311707317076,77.94536529668994,68.91822228381376,66.93748349947165,9.234894789357,11.007881797218289,-1.772987007861289
1999,78.30281951219513,77.9864156814197,69.12443902439024,67.179685427432,9.178380487804887,10.806730253987695,-1.628349766182808
2000,78.53910731707317,78.2139026514961,69.44379046563193,67.51147599252305,9.09531685144124,10.702426658973053,-1.6071098075318133
2001,78.87531219512195,78.46836459893922,69.73891879157428,67.82049851963289,9.136393403547672,10.647866079306326,-1.5114726757586538
2002,79.08740975609756,78.61279100513563,70.0137477827051,68.13141875301652,9.073661973392461,10.481372252119115,-1.407710278726654
2003,79.16699512195122,78.66210569185749,70.2539312638581,68.40266081359877,8.91306385809311,10.25944487825872,-1.3463810201656088
2004,79.56991219512196,79.09261173777283,70.64724889135256,68.67336151186873,8.922663303769397,10.419250225904094,-1.4965869221346964
2005,79.6683756097561,79.07351464381527,70.94385282705099,69.04185793043992,8.724522782705108,10.031656713375355,-1.307133930670247
2006,79.95614146341464,79.34314612946693,71.24937195121952,69.40404073969768,8.706769512195123,9.939105389769253,-1.2323358775741298
2007,80.09320975609756,79.58064215175233,71.56712721729491,69.75102761391608,8.526082538802655,9.82961453783625,-1.303531999033595
2008,80.24619512195122,79.64229418240197,71.88268015521065,69.95383742963615,8.363514966740567,9.688456752765816,-1.3249417860252493
2009,80.50361951219514,79.95738157946843,72.30798281596452,70.37525645153434,8.195636696230622,9.582125127934091,-1.3864884317034694
2010,80.63250731707319,80.07022201560868,72.65092045454546,70.68759084118547,7.981586862527735,9.38263117442321,-1.4010443118954754
2011,80.75523902439025,80.08792407381843,73.00456624168515,71.00582400895154,7.750672782705095,9.082100064866893,-1.3314272821617976
2012,80.92714634146343,80.2722093824559,73.20467960088693,71.27719176827998,7.722466740576493,8.995017614175921,-1.2725508735994282
2013,81.24760487804878,80.39077563914589,73.4994090909091,71.55637845718354,7.748195787139679,8.834397181962345,-1.086201394822666
2014,81.42717560975608,80.55379737208548,73.80211917960088,71.84673630241244,7.6250564301551975,8.707061069673045,-1.082004639517848
2015,81.29432682926829,80.4330154533945,73.93490659645232,72.0688960858684,7.359420232815964,8.3641193675261,-1.0046991347101368
2016,81.42872195121952,80.4598259427342,74.18818320399113,72.31032308828755,7.240538747228385,8.149502854446652,-0.9089641072182673
2017,81.3733853658537,80.44212427872073,74.42927328159645,72.5196828731386,6.944112084257242,7.92244140558212,-0.9783293213248783
2018,81.61482926829268,80.57944533864512,74.69899473392461,72.8014587268238,6.915834534368074,7.777986611821319,-0.8621520774532456
2019,81.71534634146342,80.71258715568092,74.97063386917961,73.05124410487021,6.744712472283808,7.661343050810714,-0.916630578526906
2020,80.94968292682927,79.46983405034888,74.17741768292684,72.37292539502398,6.7722652439024245,7.096908655324896,-0.3246434114224712
2021,80.31082926829268,79.0370335410937,73.32242100886918,71.3265827897369,6.988408259423494,7.710450751356802,-0.7220424919333084
2022,80.84685853658536,79.63851722644165,74.89833314855876,73.29374350550412,5.948525388026596,6.344773720937525,-0.396248332910929
2023,81.69243414634145,80.3689540912632,75.50354129711751,73.56995313019002,6.188892849223947,6.79900096107319,-0.6101081118492431
