iso_code,le_2019,le_2020,le_2021,le_2023,drop_2020,drop_2021,recovery_2023,is_blue_zone,fully_recovered
ROU,75.6073170731707,74.2536585365854,72.809756097561,76.6073170731707,-1.3536585365853,-2.7975609756096986,1.0,0,True
RUS,73.0839024390244,71.3387804878049,69.900243902439,73.2546341463415,-1.7451219512195024,-3.1836585365853978,0.17073170731710263,0,True
SAU,78.313,77.596,77.089,78.732,-0.7169999999999987,-1.2240000000000038,0.41899999999999693,0,True
SGP,83.5951219512195,83.5439024390244,83.0926829268293,82.8951219512195,-0.05121951219510379,-0.502439024390199,-0.7000000000000028,0,False
SRB,75.9365853658537,74.4780487804878,72.780487804878,76.2209756097561,-1.4585365853659056,-3.156097560975695,0.28439024390239354,0,True
SVK,77.6658536585366,76.8658536585366,74.6146341463415,78.0170731707317,-0.8000000000000114,-3.051219512195104,0.35121951219510095,0,True
SVN,81.5292682926829,80.5317073170732,80.6756097560976,81.9780487804878,-0.9975609756097015,-0.8536585365853,0.4487804878048962,0,True
SWE,83.109756097561,82.3560975609756,83.0560975609756,83.309756097561,-0.7536585365854052,-0.05365853658540232,0.20000000000000284,0,True
SYR,70.97,71.944,72.418,72.12,0.9740000000000038,1.4480000000000075,1.1500000000000057,0,True
THA,77.197,77.331,77.606,76.412,0.13400000000000034,0.4089999999999918,-0.7849999999999966,0,False
TUN,75.599,75.004,72.893,76.508,-0.5949999999999989,-2.706000000000003,0.9089999999999918,0,True
TUR,77.737,76.525,75.722,77.156,-1.211999999999989,-2.0150000000000006,-0.5809999999999889,0,False
TZA,66.007,66.771,66.131,66.995,0.7639999999999958,0.12399999999999523,0.9879999999999995,0,True
UGA,66.354,66.41,66.45,68.252,0.055999999999997385,0.09600000000000364,1.8979999999999961,0,True
URY,77.503,78.381,75.434,78.138,0.8780000000000001,-2.0690000000000026,0.6350000000000051,0,True
USA,78.7878048780488,76.9804878048781,76.3292682926829,78.3853658536585,-1.807317073170708,-2.4585365853659056,-0.4024390243903042,1,False
VEN,72.766,72.369,71.536,72.514,-0.39700000000000557,-1.230000000000004,-0.25200000000000955,0,False
VNM,74.211,75.383,74.145,74.588,1.171999999999997,-0.0660000000000025,0.37699999999999534,0,True
ZAF,66.071,65.15,62.01,66.139,-0.9209999999999923,-4.061,0.06799999999999784,0,True
ZMB,62.914,63.361,62.363,66.349,0.4469999999999956,-0.5510000000000019,3.4350000000000023,0,True
ZWE,61.06,61.53,60.135,62.775,0.46999999999999886,-0.9250000000000043,1.7149999999999963,0,True
