year,global_mean,global_median,global_std,n_countries,blue_zone_mean,bz_n_countries,non_bz_mean,global_q25,global_q75,bz_gap_over_global
1986,66.80273223183845,69.4463414634146,9.037060515287964,93,75.96661463414635,5,66.28205709534369,62.136,73.952512195122,9.163882402307905
1987,67.14850904799371,69.6512195121951,8.77147405951226,93,76.13894634146344,5,66.63768874722838,62.544,74.1780487804878,8.990437293469725
1988,67.37418095987412,70.0234146341463,8.605705336234575,93,76.39610731707319,5,66.86157150776053,62.902,74.4243902439024,9.021926357199064
1989,67.66973642800944,69.865,8.593537297641094,93,76.62858536585368,5,67.16071092017738,63.017,74.4552195121951,8.958848937844238
1990,67.78263860477315,69.7412195121951,8.638955997980494,93,76.81109268292684,5,67.26965825942351,63.249,74.8053658536585,9.028454078153686
1991,68.03823996852873,70.075,8.66333314050047,93,76.95915609756098,5,67.53136973392462,63.703,75.1578048780488,8.92091612903225
1992,68.03163860477315,69.974,8.785956414558603,93,77.17695121951219,5,67.5120185698448,64.182,75.4150975609756,9.14531261473904
1993,68.16228848675584,70.208,8.742097770284937,93,77.23007317073173,5,67.64707344789358,64.851,75.2921951219512,9.067784683975887
1994,68.47803907684238,70.472,8.701937391195978,93,77.44126341463416,5,67.9687649667406,65.027,75.619512195122,8.963224337791786
1995,68.66855704169946,70.871,8.703171168943985,93,77.47082926829269,5,68.16842793791574,65.214,75.4693170731707,8.802272226593232
1996,68.99839444007344,71.247,8.810837141232987,93,77.77638048780489,5,68.49964523281596,65.733,75.8317073170732,8.777986047731446
1997,69.22992918961447,71.624,8.850000270627692,93,78.08347804878048,5,68.72688664079823,66.207,75.9853658536585,8.853548859166011
1998,69.41472200367166,71.949,8.924473690755473,93,78.15311707317076,5,68.91822228381376,66.536,76.324,8.738395069499106
1999,69.61790034093889,71.952,8.901460521445319,93,78.30281951219513,5,69.12443902439024,66.404,76.5829268292683,8.68491917125624
2000,69.93278599527932,72.288,8.898197994435408,93,78.53910731707317,5,69.44379046563193,66.292,76.6365853658537,8.606321321793857
2001,70.23012273800158,72.571,8.954125781480373,93,78.87531219512195,5,69.73891879157428,66.583,77.1341463414634,8.645189457120367
2002,70.50157907159718,73.034,8.848652549661045,93,79.08740975609756,5,70.0137477827051,66.954,77.6341463414634,8.58583068450038
2003,70.73312824547601,73.236,8.785747922345585,93,79.16699512195122,5,70.2539312638581,67.134,77.7268292682927,8.433866876475207
2004,71.12696197220036,73.223,8.757954391913763,93,79.56991219512196,5,70.64724889135256,65.841,78.276,8.442950222921596
2005,71.41291319171256,73.51,8.644684895656182,93,79.6683756097561,5,70.943852827051,67.531,78.459,8.255462418043535
2006,71.71747783897194,73.746,8.534925778058266,93,79.95614146341464,5,71.24937195121952,67.664,78.6682926829268,8.238663624442694
2007,72.02551875163914,73.796,8.366650952988472,93,80.09320975609756,5,71.56712721729491,67.914,79.098,8.067691004458425
2008,72.33233149750853,74.206,8.305892534624673,93,80.24619512195122,5,71.88268015521065,68.085,79.18,7.913863624442683
2009,72.74860844479413,74.531,8.033815599068454,93,80.50361951219513,5,72.30798281596452,68.631,79.372,7.755011067401
2010,73.08003802779963,74.964,7.844151833878853,93,80.63250731707319,5,72.65092045454546,68.8412195121951,79.4219512195122,7.55246928927356
2011,73.42126907946499,75.1,7.729776628312402,93,80.75523902439025,5,73.00456624168515,69.096,80.4365853658537,7.333969944925258
2012,73.61986598478887,75.486,7.585165182159436,93,80.92714634146341,5,73.20467960088692,68.989,80.3731707317073,7.307280356674539
2013,73.91597875688434,75.5658536585366,7.478682053547496,93,81.24760487804878,5,73.4994090909091,69.283,80.490243902439,7.331626121164433
2014,74.21206845003934,75.7634146341463,7.407738771111965,93,81.42717560975608,5,73.80211917960088,69.679,81.090243902439,7.215107159716737
2015,74.3305743509048,75.907,7.250383325277015,93,81.29432682926829,5,73.93490659645232,69.977,80.7756097560976,6.963752478363489
2016,74.57745948072385,76.094,7.151656714706861,93,81.42872195121952,5,74.18818320399113,69.733,81.1243902439025,6.851262470495669
2017,74.80261264096512,76.22,7.018806054518093,93,81.37338536585368,5,74.42927328159645,70.068,81.1024390243903,6.570772724888556
2018,75.07081379491214,76.621,6.90424029893096,93,81.61482926829268,5,74.69899473392462,70.974,81.2560975609756,6.54401547338054
2019,75.33325281930239,76.793,6.816960360290322,93,81.71534634146342,5,74.97063386917961,71.213,81.4512195121951,6.382093522161028
2020,74.54151796485708,75.419512195122,6.8109249928116515,93,80.94968292682928,5,74.17741768292683,70.156,80.6951219512195,6.408164961972204
2021,73.69814188303172,73.948,7.231309915008761,93,80.31082926829268,5,73.32242100886918,68.976,80.6756097560976,6.612687385260955
2022,75.21814634146341,76.1878048780488,6.32174494411164,93,80.84685853658536,5,74.89833314855876,72.037,81.0112195121951,5.628712195121949
2023,75.83627747180698,77.392,6.362797080280559,93,81.69243414634147,5,75.50354129711752,72.003,81.5365853658537,5.856156674534489
