year,global_mean,global_median,global_std,n_countries,blue_zone_mean,bz_n_countries,non_bz_mean,global_q25,global_q75,bz_gap_over_global,weighted_global_mean,weighted_bz_mean,weighted_gap
1971,61.92137293469709,65.1379268292683,10.161295171490051,93,71.20066829268292,5,61.39414024390244,55.289,70.1646341463415,9.27929535798583,56.64755842695474,71.70563587764825,15.05807745069351
1972,62.52732966168372,65.555,9.483590691661062,93,71.41107317073173,5,62.02257150776054,55.845,70.7073170731707,8.88374350904801,57.65073941520413,71.86589408724883,14.215154672044704
1973,62.88239024390244,65.74,9.357121743784992,93,71.66289756097561,5,62.3834977827051,56.422,71.1128048780488,8.780507317073166,58.15618959936057,72.01908316555914,13.862893566198565
1974,63.22721164437451,66.223,9.333501024661938,93,72.24060975609756,5,62.71508675166297,56.943,71.1348780487805,9.013398111723042,58.58157134314369,72.57053919677288,13.988967853629191
1975,63.559126934172575,66.037,9.183337256819971,93,72.63068780487806,5,63.04369733924613,57.744,71.1146341463415,9.07156087070549,59.089770173454426,73.08152574128444,13.991755567830012
1976,63.752305271439816,66.819,9.45707043701489,93,73.0319512195122,5,63.22505266075388,58.0,71.5658536585366,9.279645948072378,59.44389924704494,73.40267203055821,13.958772783513268
1977,64.38780776291634,67.3763414634146,8.95964612178842,93,73.41518536585366,5,63.87488858093126,58.586,71.6151219512195,9.02737760293732,60.078200775009364,73.83856732291947,13.76036654791011
1978,64.62522370836612,67.3909756097561,8.936249652452856,93,73.80521463414634,5,64.10363331485588,59.111,71.7102195121951,9.179990925780215,60.471779471874484,74.05058210070504,13.578802628830559
1979,64.92690296354577,67.607,8.884418659859552,93,74.20923414634149,5,64.3994977827051,59.519,72.1766585365854,9.282331182795716,60.91245592175814,74.49587566483395,13.583419743075808
1980,65.13046184107003,68.061,8.82389416262415,93,74.21650243902441,5,64.61420953436807,59.909,72.2581707317073,9.08604059795438,61.28460107673125,74.34673262946686,13.062131552735607
1981,65.37902543928665,68.461,8.894485382226204,93,74.62304390243904,5,64.85379711751663,59.562,72.5878048780488,9.244018463152386,61.671760171420644,74.74926232152224,13.077502150101594
1982,65.48819931812221,68.876,9.193893017147712,93,75.02339024390247,5,64.94642710643016,59.859,72.6878048780488,9.535190925780256,62.060575123021316,75.14937734481825,13.088802221796932
1983,65.85449855756622,68.9736585365854,9.141221356942712,93,75.15020487804875,5,65.32633342572062,60.752,73.0121951219512,9.295706320482536,62.380791970971416,75.2043916816959,12.82359971072448
1984,66.09047102019409,69.0258536585366,9.41000026670141,93,75.51655121951221,5,65.55489828159646,61.066,73.290243902439,9.426080199318122,62.71544459579537,75.47193603940676,12.756491443611388
1985,66.34154681353266,68.9721951219512,9.285329193036016,93,75.69093658536588,5,65.8103314855876,61.574,73.6219024390244,9.349389771833216,63.04054696770202,75.56631948499447,12.525772517292445
1986,66.80273223183845,69.4463414634146,9.037060515287964,93,75.96661463414635,5,66.28205709534369,62.136,73.952512195122,9.163882402307904,63.4649148964514,75.76912898253539,12.304214086083995
1987,67.14850904799371,69.6512195121951,8.77147405951226,93,76.13894634146344,5,66.63768874722838,62.544,74.1780487804878,8.990437293469725,63.85996751308183,76.01910021698183,12.1591327039
1988,67.37418095987412,70.0234146341463,8.605705336234575,93,76.39610731707319,5,66.86157150776053,62.902,74.4243902439024,9.021926357199064,64.14382424571076,76.03536575799711,11.891541512286352
1989,67.66973642800944,69.865,8.593537297641094,93,76.62858536585368,5,67.16071092017738,63.017,74.4552195121951,8.958848937844238,64.43418120050812,76.34351746122549,11.909336260717367
1990,67.78263860477315,69.7412195121951,8.638955997980494,93,76.81109268292684,5,67.26965825942351,63.249,74.8053658536585,9.028454078153686,64.60831520657894,76.49464956034826,11.886334353769328
1991,68.03823996852873,70.075,8.66333314050047,93,76.95915609756098,5,67.53136973392462,63.703,75.1578048780488,8.92091612903225,64.86681578400787,76.64035893850829,11.773543154500416
1992,68.03163860477315,69.974,8.785956414558603,93,77.17695121951219,5,67.5120185698448,64.182,75.4150975609756,9.14531261473904,65.1736217899161,76.84467567685392,11.671053886937827
1993,68.16228848675584,70.208,8.742097770284937,93,77.23007317073173,5,67.64707344789358,64.851,75.2921951219512,9.067784683975889,65.40294511040588,76.82338858075472,11.420443470348843
1994,68.47803907684238,70.472,8.701937391195978,93,77.44126341463416,5,67.9687649667406,65.027,75.619512195122,8.963224337791786,65.65170726056725,77.06784978476809,11.416142524200836
1995,68.66855704169946,70.871,8.703171168943985,93,77.47082926829269,5,68.16842793791574,65.214,75.4693170731707,8.802272226593232,65.95656271963472,77.04758593310751,11.091023213472795
1996,68.99839444007344,71.247,8.810837141232987,93,77.77638048780489,5,68.49964523281596,65.733,75.8317073170732,8.777986047731446,66.30145003521741,77.50291775683974,11.201467721622322
1997,69.22992918961447,71.624,8.850000270627692,93,78.08347804878048,5,68.72688664079823,66.207,75.9853658536585,8.853548859166011,66.63418802088864,77.8308273292459,11.196639308357263
1998,69.41472200367166,71.949,8.924473690755473,93,78.15311707317076,5,68.91822228381376,66.536,76.324,8.738395069499106,66.93748349947165,77.94536529668994,11.007881797218289
1999,69.61790034093889,71.952,8.901460521445319,93,78.30281951219513,5,69.12443902439024,66.404,76.5829268292683,8.68491917125624,67.179685427432,77.9864156814197,10.806730253987695
2000,69.93278599527932,72.288,8.898197994435408,93,78.53910731707317,5,69.44379046563193,66.292,76.6365853658537,8.606321321793857,67.51147599252305,78.2139026514961,10.702426658973053
2001,70.23012273800158,72.571,8.954125781480373,93,78.87531219512195,5,69.73891879157428,66.583,77.1341463414634,8.645189457120367,67.82049851963289,78.46836459893922,10.647866079306326
2002,70.50157907159718,73.034,8.848652549661045,93,79.08740975609756,5,70.0137477827051,66.954,77.6341463414634,8.58583068450038,68.13141875301652,78.61279100513563,10.481372252119115
2003,70.73312824547601,73.236,8.785747922345585,93,79.16699512195122,5,70.2539312638581,67.134,77.7268292682927,8.433866876475207,68.40266081359877,78.66210569185749,10.25944487825872
2004,71.12696197220036,73.223,8.757954391913763,93,79.56991219512196,5,70.64724889135256,65.841,78.276,8.442950222921596,68.67336151186873,79.09261173777283,10.419250225904094
2005,71.41291319171256,73.51,8.644684895656182,93,79.6683756097561,5,70.943852827051,67.531,78.459,8.255462418043535,69.04185793043992,79.07351464381527,10.031656713375355
2006,71.71747783897194,73.746,8.534925778058266,93,79.95614146341464,5,71.24937195121952,67.664,78.6682926829268,8.238663624442694,69.40404073969768,79.34314612946693,9.939105389769253
2007,72.02551875163914,73.796,8.366650952988472,93,80.09320975609756,5,71.56712721729491,67.914,79.098,8.067691004458425,69.75102761391608,79.58064215175233,9.82961453783625
2008,72.33233149750853,74.206,8.305892534624673,93,80.24619512195122,5,71.88268015521065,68.085,79.18,7.913863624442683,69.95383742963615,79.64229418240197,9.688456752765816
2009,72.74860844479413,74.531,8.033815599068454,93,80.50361951219513,5,72.30798281596452,68.631,79.372,7.755011067401,70.37525645153434,79.95738157946843,9.582125127934091
2010,73.08003802779963,74.964,7.844151833878853,93,80.63250731707319,5,72.65092045454546,68.8412195121951,79.4219512195122,7.55246928927356,70.68759084118547,80.07022201560868,9.38263117442321
2011,73.42126907946499,75.1,7.729776628312402,93,80.75523902439025,5,73.00456624168515,69.096,80.4365853658537,7.333969944925258,71.00582400895154,80.08792407381843,9.082100064866893
2012,73.61986598478887,75.486,7.585165182159436,93,80.92714634146341,5,73.20467960088692,68.989,80.3731707317073,7.307280356674539,71.27719176827998,80.2722093824559,8.995017614175921
2013,73.91597875688434,75.5658536585366,7.478682053547496,93,81.24760487804878,5,73.4994090909091,69.283,80.490243902439,7.331626121164433,71.55637845718354,80.39077563914589,8.834397181962345
2014,74.21206845003934,75.7634146341463,7.407738771111965,93,81.42717560975608,5,73.80211917960088,69.679,81.090243902439,7.215107159716737,71.84673630241244,80.55379737208548,8.707061069673045
2015,74.3305743509048,75.907,7.250383325277015,93,81.29432682926829,5,73.93490659645232,69.977,80.7756097560976,6.963752478363489,72.0688960858684,80.4330154533945,8.3641193675261
2016,74.57745948072385,76.094,7.151656714706861,93,81.42872195121952,5,74.18818320399113,69.733,81.1243902439025,6.851262470495669,72.31032308828755,80.4598259427342,8.149502854446652
2017,74.80261264096512,76.22,7.018806054518093,93,81.37338536585368,5,74.42927328159645,70.068,81.1024390243903,6.570772724888556,72.5196828731386,80.44212427872073,7.92244140558212
2018,75.07081379491214,76.621,6.90424029893096,93,81.61482926829268,5,74.69899473392462,70.974,81.2560975609756,6.54401547338054,72.8014587268238,80.57944533864512,7.777986611821319
2019,75.33325281930239,76.793,6.816960360290322,93,81.71534634146342,5,74.97063386917961,71.213,81.4512195121951,6.382093522161028,73.05124410487021,80.71258715568092,7.661343050810714
